Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",35.500000,29.000000,-90.000000,top
"C2","10nF","C_0805_2012Metric",20.500000,46.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",39.150000,8.500000,90.000000,top
"C4","1uF","C_0805_2012Metric",40.000000,5.500000,0.000000,top
"C5","10uF","C_1206_3216Metric",26.500000,8.500000,90.000000,top
"C6","220nF","C_0805_2012Metric",29.000000,8.000000,90.000000,top
"C7","22uF","C_1210_3225Metric",30.000000,27.000000,90.000000,top
"C8","22uF","C_1210_3225Metric",26.500000,27.000000,90.000000,top
"C9","22uF","C_1210_3225Metric",26.444000,32.924000,-90.000000,top
"C10","22uF","C_1210_3225Metric",30.018000,32.924000,-90.000000,top
"C11","10uF","C_1206_3216Metric",26.716000,41.052000,180.000000,top
"C12","10uF","C_1206_3216Metric",27.732000,45.116000,90.000000,top
"D1","SMBJ18A","D_SMB",19.000000,14.000000,180.000000,top
"J2","SM04B-SRSS-TB","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",20.000000,50.500000,180.000000,top
"L1","SRR1260-8R2Y","L_Bourns_SRR1260",33.000000,17.500000,90.000000,top
"R1","1kΩ","R_0805_2012Metric",20.500000,43.500000,0.000000,top
"R2","100kΩ","R_0805_2012Metric",43.000000,2.500000,-90.000000,top
"R3","24.9kΩ","R_0805_2012Metric",39.416000,2.444000,90.000000,top
"R4","10kΩ","R_0805_2012Metric",14.500000,44.500000,90.000000,top
"R5","2.2kΩ","R_0805_2012Metric",14.500000,49.500000,90.000000,top
"U2","LMR33630ADDA","Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias",34.150000,6.350000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",33.574000,43.338000,0.000000,top
