"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","100nF","Capacitor_SMD:C_0805_2012Metric",""
"2","C2","1","10nF","Capacitor_SMD:C_0805_2012Metric",""
"3","C4","1","1uF","Capacitor_SMD:C_0805_2012Metric",""
"4","C5, C11, C12","3","10uF","Capacitor_SMD:C_1206_3216Metric",""
"5","C6","1","220nF","Capacitor_SMD:C_0805_2012Metric",""
"6","C7, C8, C9, C10","4","22uF","Capacitor_SMD:C_1210_3225Metric",""
"7","D1","1","SMBJ18A","Diode_SMD:D_SMB",""
"8","J1","1","XT60PW-M","Custom_BEC_PS:AMASS_XT60PW-M",""
"9","J2","1","SM04B-SRSS-TB","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",""
"10","J3, J4, J5, J6","4","XT60PW-F","Custom_BEC_PS:AMASS_XT60PW-F",""
"11","L1","1","8uH 3.5A","Inductor_SMD:L_Bourns_SRR1260",""
"12","R1","1","1kΩ","Resistor_SMD:R_0805_2012Metric",""
"13","R2","1","100kΩ","Resistor_SMD:R_0805_2012Metric",""
"14","R3","1","24.9kΩ","Resistor_SMD:R_0805_2012Metric",""
"15","R4","1","10kΩ","Resistor_SMD:R_0805_2012Metric",""
"16","R5","1","2.2kΩ","Resistor_SMD:R_0805_2012Metric",""
"17","U1","1","ACS773LCB-100B-PFF","Sensor_Current:Allegro_CB_PFF",""
"18","U2","1","LMR33630ADDA","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias",""
"19","U3","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
